     Depth    # of puzzles    Avg solution cost        Avg time cost
        15               2                  734             0.000385
        16               1                 1442             0.000962
        17               1                 1625             0.001063
        18               4                 2586             0.003144
        19               1                 4486             0.006093
        20               6                 6377             0.013421
        21               7                10931             0.037370
        22               6                15434             0.086951
        23               4                25677             0.239220
        24               5                36808             0.502017
        25               4                60551             1.750693
        26               6                80964             3.335192
        27               2               128823            10.730586
        28               1               162907            19.436982
     Depth    # of puzzles    Avg solution cost        Avg time cost
        14               1                  348             0.000139
        15               2                  652             0.000422
        16               2                 1050             0.000587
        17               2                 1641             0.001256
        18               2                 2484             0.002877
        19               6                 4368             0.008462
        20               5                 6358             0.013643
        21               3                10579             0.042967
        22               9                15743             0.108907
        23               3                25962             0.264105
        24               3                38068             0.579669
        25               3                60760             1.929050
        26               4                85194             3.705626
        27               3               128865            11.938027
        28               2               162632            23.494330
     Depth    # of puzzles    Avg solution cost        Avg time cost
        10               1                   77             0.000267
        15               1                  705             0.000382
        16               2                  933             0.000664
        17               1                 1501             0.001482
        18               1                 2406             0.003297
        19               1                 4328             0.010094
        20               2                 6666             0.013954
        21               5                10940             0.066493
        22               7                16825             0.115037
        23               8                26017             0.272865
        24               7                36833             0.587189
        25               3                62244             1.858679
        26               4                79970             3.091356
        27               2               129370            13.148869
        28               5               167134            23.074482
     Depth    # of puzzles    Avg solution cost        Avg time cost
        11               1                  106             0.000084
        14               1                  362             0.000340
        16               2                  906             0.000725
        19               4                 4342             0.008542
        20               6                 6558             0.025060
        21               5                11245             0.085568
        22               7                15608             0.119885
        23               5                25897             0.288266
        24               7                36544             0.736132
        25               6                60670             2.012147
        26               3                80800             3.522127
        27               2               128768            13.343594
        28               1               163020            26.417333
     Depth    # of puzzles    Avg solution cost        Avg time cost
        14               1                  393             0.000170
        17               3                 1849             0.001983
        18               4                 2716             0.003267
        19               2                 4676             0.011990
        20               6                 6423             0.017407
        21               8                10838             0.069340
        22               2                14146             0.088485
        23               2                26789             0.278693
        24               6                38572             0.792252
        25               6                61049             1.722990
        26               5                79959             3.277026
        27               3               127812            12.136396
        28               1               164505            22.614460
        29               1               236569            50.857328
     Depth    # of puzzles    Avg solution cost        Avg time cost
        12               2                  184             0.000084
        14               1                  313             0.000144
        15               1                  666             0.000430
        16               1                  799             0.000451
        18               4                 2530             0.013210
        19               5                 4284             0.008400
        20               4                 5986             0.013097
        21               6                10934             0.086286
        22               6                16235             0.133811
        23               5                26636             0.276731
        24               5                38716             0.723960
        25               3                59583             1.980933
        26               6                83234             3.578300
        27               1               127657            12.155636
     Depth    # of puzzles    Avg solution cost        Avg time cost
         9               1                   57             0.000050
        10               1                   49             0.000033
        14               1                  424             0.000988
        15               1                  655             0.000705
        18               3                 2734             0.003159
        19               1                 4195             0.007974
        20               2                 7127             0.018948
        21               4                11109             0.070321
        22               6                15302             0.091135
        23               7                26502             0.316278
        24               4                38094             0.577787
        25               7                60901             1.774217
        26               6                83423             3.693722
        27               5               128233            11.153120
        28               1               163118            16.870539
     Depth    # of puzzles    Avg solution cost        Avg time cost
        16               1                 1321             0.001028
        17               2                 1707             0.001222
        18               2                 2328             0.005082
        19               4                 4295             0.020384
        20               7                 6535             0.017238
        21               6                11016             0.049131
        22               5                15041             0.097791
        23               7                25229             0.246573
        24               7                38527             0.716245
        25               6                61380             1.792017
        26               1                79254             2.949979
        27               2               128055            10.588645
     Depth    # of puzzles    Avg solution cost        Avg time cost
        11               1                  110             0.000056
        14               2                  413             0.000251
        15               2                  727             0.000452
        16               1                 1046             0.000727
        17               1                 1916             0.002199
        18               3                 2949             0.007743
        19               3                 4513             0.012383
        20               4                 6310             0.014221
        21               6                10954             0.048071
        22               8                15241             0.115225
        23               6                25632             0.261917
        24               2                36014             0.572249
        25               4                61382             1.706826
        26               4                79689             3.793601
        27               1               126212            11.658766
        28               2               164006            20.833021
     Depth    # of puzzles    Avg solution cost        Avg time cost
        14               1                  489             0.000223
        16               3                  916             0.000755
        17               3                 1686             0.001252
        18               3                 2701             0.004822
        19               2                 4256             0.008392
        20               3                 6743             0.016923
        21               7                10653             0.039516
        22               6                15088             0.094010
        23               5                26292             0.348848
        24               7                39510             0.672389
        25               3                61058             1.802066
        26               4                84992             4.056852
        27               2               128394            11.029353
        28               1               163735            19.678361
     Depth    # of puzzles    Avg solution cost        Avg time cost
        12               1                  174             0.000198
        13               2                  260             0.000167
        14               1                  411             0.000186
        15               1                  749             0.000352
        16               1                  850             0.000434
        18               1                 2860             0.002876
        19               5                 4382             0.008563
        20               6                 6529             0.017980
        21               5                10635             0.045489
        22               3                15336             0.085486
        23               4                25989             0.366869
        24               8                37354             0.599644
        25               6                60941             1.865096
        26               3                85404             4.106411
        28               3               161823            20.379802
     Depth    # of puzzles    Avg solution cost        Avg time cost
        13               1                  276             0.000114
        14               1                  445             0.000204
        15               1                  726             0.000590
        16               2                 1020             0.000813
        17               2                 1758             0.001501
        18               1                 2054             0.002048
        19               4                 4383             0.012163
        20               4                 6354             0.020568
        21               6                10938             0.073170
        22               7                15045             0.081355
        23               8                25984             0.304350
        24               3                37864             0.572533
        25               7                60229             1.725609
        26               3                80388             3.151846
     Depth    # of puzzles    Avg solution cost        Avg time cost
        16               3                  967             0.000710
        17               1                 1834             0.001483
        18               2                 3149             0.003656
        19               3                 4636             0.008069
        20               3                 5659             0.012907
        21               4                11232             0.048562
        22               9                15766             0.093622
        23               6                26482             0.290083
        24               6                39439             0.826224
        25               5                61279             1.855195
        26               7                84878             3.961908
        27               1               126791            11.573518
     Depth    # of puzzles    Avg solution cost        Avg time cost
        11               1                  102             0.000061
        14               1                  380             0.000206
        16               1                 1024             0.000559
        17               1                 1773             0.002066
        18               2                 2319             0.003534
        19               2                 4273             0.028515
        20               6                 6108             0.013026
        21               4                10447             0.040150
        22               9                16079             0.110054
        23               6                26038             0.343964
        24               5                38507             0.661452
        25               6                61285             1.771236
        26               1                78929             3.143038
        27               3               129321            12.749609
        28               2               162242            21.939783
     Depth    # of puzzles    Avg solution cost        Avg time cost
        10               1                  115             0.000048
        17               2                 1648             0.001265
        18               6                 2423             0.007704
        19               2                 4267             0.006897
        20               8                 5852             0.013492
        21               2                10778             0.036358
        22               5                15620             0.164980
        23               7                26606             0.362979
        24               4                34738             0.628385
        25               3                60723             1.960992
        26               7                84474             3.917699
        27               2               127440            14.779933
        28               1               162820            19.011121
     Depth    # of puzzles    Avg solution cost        Avg time cost
        16               5                 1020             0.000613
        17               4                 1569             0.002558
        18               3                 2519             0.003579
        19               3                 4011             0.005588
        20               5                 6238             0.014424
        21               8                11075             0.063593
        22               2                16398             0.204190
        23               7                26262             0.322014
        24               6                37065             0.595670
        25               1                61913             2.017472
        26               2                86857             3.674032
        27               2               129093            11.913228
        28               1               162408            19.887366
        29               1               239880            53.004995
     Depth    # of puzzles    Avg solution cost        Avg time cost
         9               1                   49             0.000024
        15               2                  660             0.000657
        16               2                  890             0.000513
        17               1                 1633             0.001150
        18               2                 2893             0.002973
        19               2                 4000             0.007006
        20               6                 6271             0.013747
        21               4                10316             0.043889
        22               5                16028             0.102029
        23               4                25889             0.397221
        24               8                37685             0.629580
        25               4                61113             1.859568
        26               5                80169             3.567408
        27               2               129682            11.777465
        28               1               162855            20.129265
        29               1               236435            57.215286
     Depth    # of puzzles    Avg solution cost        Avg time cost
        14               1                  353             0.000574
        16               3                 1187             0.001541
        18               3                 2510             0.003409
        19               6                 4604             0.014060
        20               7                 6309             0.016247
        21               2                10980             0.048173
        22               8                15665             0.088424
        23               6                26495             0.344628
        24               2                36973             0.711148
        25               6                61271             2.219938
        26               3                79860             3.896696
        27               1               124921            11.784521
        28               1               165255            21.073964
        30               1               286631            68.936265
     Depth    # of puzzles    Avg solution cost        Avg time cost
        10               1                   69             0.000032
        15               3                  684             0.000486
        16               2                 1214             0.002071
        17               2                 2002             0.001741
        18               2                 2285             0.002601
        20               4                 6766             0.018470
        21               7                10507             0.043133
        22               6                17102             0.166681
        23               7                26899             0.323224
        24               7                39553             0.845422
        25               2                63249             2.421911
        26               5                80870             4.604724
        27               2               129761            12.615195
     Depth    # of puzzles    Avg solution cost        Avg time cost
        -1              50                    1             0.000000
     Depth    # of puzzles    Avg solution cost        Avg time cost
        -1              50                    1             0.000000
     Depth    # of puzzles    Avg solution cost        Avg time cost
        -1              50                    1             0.000000
