H1
     Depth    # of puzzles    Avg solution cost        Avg time cost
         8               1             20319206             0.000009
        10               1               727728             0.000046
        12               1             17591081             0.000069
        13               3             10147552             0.000175
        14               6             18003908             0.001267
        15               4             12396575             0.000357
        16              14             16546266             0.000654
        17               8             16656360             0.001105
        18              19             14583900             0.002150
        19              36             11452829             0.003488
        20              34             13999105             0.004420
        21              44             14810247             0.007459
        22              54             12270214             0.011915
        23              61             12282421             0.023042
        24              62             14198433             0.031307
        25              31             16182959             0.055787
        26              39             14326603             0.082536
        27              24             14065269             0.134295
        28               6             13700398             0.168162
        29               2             23373511             0.278197
H2
     Depth    # of puzzles    Avg solution cost        Avg time cost
         8               1             20319227             0.000005
        10               1               727793             0.000018
        12               1             17591138             0.000012
        13               3             10147652             0.000026
        14               6             18004067             0.000273
        15               4             12396779             0.000047
        16              14             16546627             0.000096
        17               8             16656793             0.000117
        18              19             14584589             0.000200
        19              36             11453790             0.000531
        20              34             14000311             0.000329
        21              44             14812126             0.000519
        22              54             12272909             0.000803
        23              61             12286337             0.001188
        24              62             14204145             0.001623
        25              31             16191537             0.002704
        26              39             14338433             0.003691
        27              24             14084446             0.006149
        28               6             13725400             0.007731
        29               2             23410365             0.017146
